verb,count
بين,22774
تهدف,10413
تعزيز,7222
يهدف,7170
تاثير,6885
يمكن,5702
يتم,5226
تحقيق,4606
يتناول,4155
تحسين,3927
تشير,3905
تقديم,3769
تطبيق,3254
تحديد,3214
يعتبر,3029
يبرز,2839
يظهر,2799
تشكيل,2740
تسعي,2666
تعتبر,2637
تتناول,2613
يعد,2496
تدرس,2489
كان,2474
كانت,2441
تطور,2412
تسلط,2361
تعتمد,2336
تحليليه,2221
يشير,2221
اظهرت,2186
تستخدم,2186
يركز,2185
تقييم,2108
يسلط,2098
يعتمد,2057
يقدم,1950
تسليط,1934
تساهم,1917
لتحسين,1902
يساهم,1859
يستخدم,1853
يسعي,1832
يعزز,1819
لضمان,1792
تشمل,1757
تظهر,1755
نحو,1751
تلك,1738
تواجه,1732
سياق,1683
يؤدي,1619
تقدم,1612
سيتم,1535
يعكس,1530
تؤثر,1501
يسهم,1390
توفير,1370
وتحسين,1359
تستكشف,1352
تلعب,1344
تركز,1291
تبرز,1284
تعد,1270
قانون,1255
تسهم,1248
يكون,1227
توصلت,1214
تتضمن,1208
تبني,1198
تاريخ,1191
توضيح,1186
يتوقع,1183
تحليلا,1173
يجمع,1120
دون,1112
تكشف,1106
نقديه,1095
وان,1073
يناقش,1062
تعليميه,1039
يتعلق,1021
يستكشف,1017
فان,990
يجب,988
يتطلب,983
هدفت,983
تعليم,974
سواء,945
تنظيم,920
تعزز,913
تعكس,900
يشكل,891
تفسير,882
تاثيرها,856
يؤثر,855
تكون,854
تجمع,845
يستعرض,839
نتيجه,822
استخدمت,820
تنفيذ,811
توفر,810
وضمان,808
نظريه,784
يوفر,783
يشدد,782
تشكل,769
توجيه,740
يلعب,738
نظرا,719
تجربه,713
ساهمت,709
يتضمن,698
تمثل,695
اصبحت,692
توظيف,684
اعتمدت,682
يؤكد,676
تحليليا,672
استبيان,672
سوق,668
تنميه,663
تاريخيه,661
ضمان,647
تناولت,646
نظره,646
نصوص,641
تستند,637
تكنولوجيا,637
تناول,625
نقل,625
تستعرض,617
توصي,612
تلاميذ,609
نماذج,607
نهج,602
نقدي,593
يمثل,589
تؤدي,583
تحليلي,582
شهدت,580
وتم,571
نشر,568
